SIDFEx TargetID Table
Last Manual Update (Year-DayOfYear): 2022-285
Last Automatic Update (Year-DayOfYear): <autofill>
########## Table Column Description
TargetID: SIDFEx TargetID.
Current_Target: TRUE or FALSE depending on whether or not the target is considered a current SIDFEx target.
Latest_Position_Year: Year of most recent position (auto update).
Latest_Position_DayOfYear: DayOfYear of most recent position (auto update).
Latest_Position_Lat: Latitude of most recent position (auto update).
Latest_Position_Lon: Longitude of most recent position (auto update).
Total_First_Year: Year of first valid position.
Total_First_DayOfYear: DayOfYear of first valid position.
SIDFEx_First_Year: Year of first time when considered as SIDFEx target.
SIDFEx_First_DayOfYear: DayOfYear of first time when considered as SIDFEx target.
SIDFEx_Last_Year: Year of last time when considered as SIDFEx target. NaN if still active.
SIDFEx_Last_DayOfYear: DayOfYear of last time when considered as SIDFEx target. NaN if still active.
Total_Last_Year: Year of last valid position. NaN if still active.
Total_Last_DayOfYear: DayOfYear of last valid position. NaN if still active.
########## Table Data
TargetID Current_Target Latest_Position_Year Latest_Position_DayOfYear Latest_Position_Lat Latest_Position_Lon Total_First_Year Total_First_DayOfYear SIDFEx_First_Year SIDFEx_First_DayOfYear SIDFEx_Last_Year SIDFEx_Last_DayOfYear Total_Last_Year Total_Last_DayOfYear
300234067527560 FALSE <autofill> <autofill> <autofill> <autofill> 2019 115.7083 2020 356.000 2021 118.5833 2021 118.5833
300234067527540 TRUE <autofill> <autofill> <autofill> <autofill> 2019 115.7083 2020 356.000 NaN NaN NaN NaN
900120 TRUE <autofill> <autofill> <autofill> <autofill> 2020 275.0210 2020 356.000 NaN NaN NaN NaN
900121 TRUE <autofill> <autofill> <autofill> <autofill> 2020 275.0210 2020 356.000 NaN NaN NaN NaN
300234067939910 FALSE <autofill> <autofill> <autofill> <autofill> 2020 80.000 2020 356.000 2021 28.875 2021 28.875
300234066890280 FALSE <autofill> <autofill> <autofill> <autofill> 2021 136.000 2021 136.000 2022 215.25 2022 215.25
300234067428260 TRUE <autofill> <autofill> <autofill> <autofill> 2021 136.000 2021 136.000 NaN NaN NaN NaN
300234067529520 TRUE <autofill> <autofill> <autofill> <autofill> 2021 136.000 2021 136.000 NaN NaN NaN NaN
300234062881810 FALSE <autofill> <autofill> <autofill> <autofill> 2021 136.000 2021 136.000 2021 202.625 2021 202.625
204762 FALSE <autofill> <autofill> <autofill> <autofill> 2021 136.000 2021 136.000 2021 285.6285 2021 285.6285
145951 FALSE <autofill> <autofill> <autofill> <autofill> 2021 136.000 2021 136.000 2021 246.75 2021 246.75
FIXEDEND68S52W FALSE NaN NaN -68.3302 -52.5583 2021 1.000 2021 1.000 2022 69.000 2022 69.000
FIXEDEND69S52W FALSE NaN NaN -69.0031 -52.5583 2021 1.000 2021 1.000 2022 69.000 2022 69.000
FIXEDEND68S53W FALSE NaN NaN -68.6667 -53.6416 2021 1.000 2021 1.000 2022 69.000 2022 69.000
FIXEDEND68S51W FALSE NaN NaN -68.6667 -51.4750 2021 1.000 2021 1.000 2022 69.000 2022 69.000
FIXEDENDCENTER FALSE NaN NaN -68.6667 -52.5583 2021 1.000 2021 1.000 2022 69.000 2022 69.000
300534061254970 TRUE <autofill> <autofill> <autofill> <autofill> 2021 50.4583 2021 50.4583 NaN NaN NaN NaN
210166 FALSE <autofill> <autofill> <autofill> <autofill> 2021 233.2708 2021 233.2708 2022 190.334 2022 190.334
300234068487020 TRUE <autofill> <autofill> <autofill> <autofill> 2021 283.65 2021 283.65 NaN NaN NaN NaN
300234068764770 TRUE <autofill> <autofill> <autofill> <autofill> 2021 229.0729 2021 229.0729 NaN NaN NaN NaN
300534062029520 TRUE <autofill> <autofill> <autofill> <autofill> 2022 51.0003 2022 51.0003 NaN NaN NaN NaN
300534060617370 TRUE <autofill> <autofill> <autofill> <autofill> 2021 267.4583 2021 267.4583 NaN NaN NaN NaN
300534060710530 TRUE <autofill> <autofill> <autofill> <autofill> 2021 272.4458 2021 272.4458 NaN NaN NaN NaN
900126 TRUE <autofill> <autofill> <autofill> <autofill> 2021 246.959 2021 246.959 NaN NaN NaN NaN
900128 TRUE <autofill> <autofill> <autofill> <autofill> 2021 273.9171 2021 273.9171 NaN NaN NaN NaN
300534061512040 FALSE <autofill> <autofill> <autofill> <autofill> 2021 161.1667 2021 161.1667 2022 227.7921 2022 227.7921
